year,brand,ad_url,ad_time,category,gender,diversity
2019,Bud Light,https://superbowl-ads.com/2019-bud-light-game-of-thrones-joust/,45,beer,female,FALSE
2004,Bud Light,https://superbowl-ads.com/2004-bud-light-cedric-gets-massage/,30,beer,male,TRUE
2003,Budweiser,https://superbowl-ads.com/2003-budweiser-roommate/,30,beer,both,TRUE
2009,E-Trade,https://superbowl-ads.com/2009-etrade-talking-baby/,45,finance,both,FALSE
2013,Pepsi,https://superbowl-ads.com/video-2013-pepsi-next-super-bowl-xlvii-commercial-party/,30,pop,both,FALSE
2004,Budweiser,https://superbowl-ads.com/2004-budweiser-lipstick/,30,beer,female,FALSE
2009,Hynudai,https://superbowl-ads.com/2009-hyundai-assurance-contract/,75,car,both,TRUE
2014,Budweiser,https://superbowl-ads.com/2014-budweiser-puppy-love/,45,beer,both,FALSE
2003,Pepsi,https://superbowl-ads.com/2003-pepsi-twist-osbornes/,30,pop,both,TRUE
2015,Coca-Cola,https://superbowl-ads.com/2015-coca-cola-make-it-happy/,30,pop,both,FALSE
2003,NFL,https://superbowl-ads.com/2003-nfl-crazy-with-don-cheadle/,120,NFL,male,TRUE
2012,Doritos,https://superbowl-ads.com/2012-doritos-sling-baby/,30,snack,both,FALSE
2002,Pepsi,https://superbowl-ads.com/2002-pepsi-generations-with-britney-spears/,45,pop,female,FALSE
2002,Bud Light,https://superbowl-ads.com/2002-bud-light-cedric-advice/,30,beer,male,FALSE
2000,Budweiser,https://superbowl-ads.com/2000-budweiser-whaasup/,30,beer,both,FALSE
2001,Bud Light,https://superbowl-ads.com/2001-bud-light-cedric-the-entertainer/,45,beer,male,FALSE
2013,Hynudai,https://superbowl-ads.com/video-2013-hyundai-genesis-super-bowl-xlvii-commercial/,75,car,female,TRUE
2015,Toyota,https://superbowl-ads.com/toyota-camry-2015-super-bowl-xlix-ad-my-bold-dad/,90,car,both,FALSE
2000,Budweiser,https://superbowl-ads.com/2000-budweiser-rex/,15,beer,female,FALSE
2001,Doritos,https://superbowl-ads.com/2001-doritos-ali-landry/,30,snack,both,TRUE
2016,Doritos,https://superbowl-ads.com/doritos-2016-super-bowl-50-ad-doritos-dogs/,30,snack,both,TRUE
2008,Bud Light,https://superbowl-ads.com/2008-bud-light-ability-to-fly/,45,beer,both,FALSE
2007,Doritos,https://superbowl-ads.com/2007-doritos-check-out-girl/,30,snack,female,FALSE
2001,NFL,https://superbowl-ads.com/2001-nfl-perfect-day/,120,NFL,both,TRUE
2001,Pepsi,https://superbowl-ads.com/2001-pepsi-bob-dole/,30,pop,male,FALSE
2014,NFL,https://superbowl-ads.com/nfl-now/,120,NFL,both,TRUE
2012,Budweiser,https://superbowl-ads.com/2012-budweiser-eternal-optimism/,30,beer,male,TRUE
2001,Pepsi,https://superbowl-ads.com/2001-pepsi-kasparov-vs-pepsi-machine/,30,pop,male,FALSE
2001,E-Trade,https://superbowl-ads.com/2001-etrade-security-guard/,45,finance,both,FALSE
2001,Budweiser,https://superbowl-ads.com/2001-budweiser-nsync/,30,beer,both,TRUE
